name,category_code,city,country_code,latitude,longitude
plista,advertising,Berlin,DEU,52.5283614,13.4124563
99designs,design,Berlin,DEU,52.4986199,13.4469031
babbel,education,Berlin,DEU,52.4897,13.38861
Deezer,music,Paris,FRA,48.8780596,2.3283853
Adknowledge,advertising,Paris,FRA,48.8506065,2.3797825
Netsize,mobile,Paris,FRA,48.8943115,2.288319
Solairedirect,cleantech,Paris,FRA,48.8745951,2.3210737
2 Minutes,games_video,Paris,FRA,48.8502056,2.3698033
Bomgar,software,Paris,FRA,48.8752305,2.2983373
Viadeo,social,Paris,FRA,48.8747064,2.3304161
Exalead,search,Paris,FRA,48.86931,2.324782
Avantium Technologies,cleantech,Amsterdam,NLD,52.3965603,4.8516964
Black Duck Software,software,Amsterdam,NLD,52.340609,4.870312
Netsize,mobile,Amsterdam,NLD,52.3738007,4.8909347
