name,category_code,city,country_code,latitude,longitude,geometry,city_coord
plista,advertising,Berlin,DEU,52.5283614,13.4124563,"{'type': 'Point', 'coordinates': (13.4124563, 52.5283614)}","Berlin, 10117, Germany"
99designs,design,Berlin,DEU,52.4986199,13.4469031,"{'type': 'Point', 'coordinates': (13.4469031, 52.4986199)}","Berlin, 10117, Germany"
babbel,education,Berlin,DEU,52.4897,13.38861,"{'type': 'Point', 'coordinates': (13.38861, 52.4897)}","Berlin, 10117, Germany"
Deezer,music,Paris,FRA,48.8780596,2.3283853,"{'type': 'Point', 'coordinates': (2.3283853, 48.8780596)}","Paris, Ile-de-France, Metropolitan France, France"
Adknowledge,advertising,Paris,FRA,48.8506065,2.3797825,"{'type': 'Point', 'coordinates': (2.3797825, 48.8506065)}","Paris, Ile-de-France, Metropolitan France, France"
Netsize,mobile,Paris,FRA,48.8943115,2.288319,"{'type': 'Point', 'coordinates': (2.288319, 48.8943115)}","Paris, Ile-de-France, Metropolitan France, France"
Solairedirect,cleantech,Paris,FRA,48.8745951,2.3210737,"{'type': 'Point', 'coordinates': (2.3210737, 48.8745951)}","Paris, Ile-de-France, Metropolitan France, France"
2 Minutes,games_video,Paris,FRA,48.8502056,2.3698033,"{'type': 'Point', 'coordinates': (2.3698033, 48.8502056)}","Paris, Ile-de-France, Metropolitan France, France"
Bomgar,software,Paris,FRA,48.8752305,2.2983373,"{'type': 'Point', 'coordinates': (2.2983373, 48.8752305)}","Paris, Ile-de-France, Metropolitan France, France"
Viadeo,social,Paris,FRA,48.8747064,2.3304161,"{'type': 'Point', 'coordinates': (2.3304161, 48.8747064)}","Paris, Ile-de-France, Metropolitan France, France"
Exalead,search,Paris,FRA,48.86931,2.324782,"{'type': 'Point', 'coordinates': (2.324782, 48.86931)}","Paris, Ile-de-France, Metropolitan France, France"
Avantium Technologies,cleantech,Amsterdam,NLD,52.3965603,4.8516964,"{'type': 'Point', 'coordinates': (4.8516964, 52.3965603)}","Amsterdam, North Holland, Netherlands"
Black Duck Software,software,Amsterdam,NLD,52.340609,4.870312,"{'type': 'Point', 'coordinates': (4.870312, 52.340609)}","Amsterdam, North Holland, Netherlands"
Netsize,mobile,Amsterdam,NLD,52.3738007,4.8909347,"{'type': 'Point', 'coordinates': (4.8909347, 52.3738007)}","Amsterdam, North Holland, Netherlands"
