requirement,name,lat,long,geometry
Elementary School,Lemgo Grundschule,52.49409087540359,13.413213715153834,"{'type': 'Point', 'coordinates': (13.413213715153834, 52.49409087540359)}"
Elementary School,GutsMuths-Grundschule,52.51615221952514,13.424435613678476,"{'type': 'Point', 'coordinates': (13.424435613678476, 52.51615221952514)}"
Elementary School,Blumen-Grundschule,52.51518303553844,13.43230707875801,"{'type': 'Point', 'coordinates': (13.43230707875801, 52.51518303553844)}"
Middle School,Schule der Russischen Botschaft,52.51529444119805,13.38466669031956,"{'type': 'Point', 'coordinates': (13.38466669031956, 52.51529444119805)}"
Elementary School,Grundschule am Brandenburger Tor,52.512809648286854,13.382686238361963,"{'type': 'Point', 'coordinates': (13.382686238361963, 52.512809648286854)}"
Daycare,Kita 1,52.48587633513613,13.391434983073358,"{'type': 'Point', 'coordinates': (13.391434983073358, 52.48587633513613)}"
Airport Lounge,Melli Beese Lounge,52.480565,13.388803,"{'type': 'Point', 'coordinates': (13.388803, 52.480565)}"
Cocktail Bar,Satellite Cocktail,52.493619,13.394989,"{'type': 'Point', 'coordinates': (13.394989, 52.493619)}"
Music Venue,Huxleys Neue Welt,52.48659348759004,13.421427610094364,"{'type': 'Point', 'coordinates': (13.421427610094364, 52.48659348759004)}"
Jazz Club,Yorckschlösschen,52.493614967122426,13.38253056057901,"{'type': 'Point', 'coordinates': (13.38253056057901, 52.493614967122426)}"
Modern European Restaurant,Spindler,52.4961584061783,13.421192583614134,"{'type': 'Point', 'coordinates': (13.421192583614134, 52.4961584061783)}"
Rock Club,Köpi,52.50797536643233,13.426304946004793,"{'type': 'Point', 'coordinates': (13.426304946004793, 52.50797536643233)}"
Nightclub,Gretchen,52.49608852832538,13.387626435292821,"{'type': 'Point', 'coordinates': (13.387626435292821, 52.49608852832538)}"
Vegetarian / Vegan Restaurant,Witz Hummus,52.491096,13.404503,"{'type': 'Point', 'coordinates': (13.404503, 52.491096)}"
Chinese Restaurant,Chungking Noodles,52.497409,13.423182,"{'type': 'Point', 'coordinates': (13.423182, 52.497409)}"
Organic Grocery,Biosphäre,52.48829544414595,13.4269620943014,"{'type': 'Point', 'coordinates': (13.4269620943014, 52.48829544414595)}"
Vegetarian / Vegan Restaurant,Veggie Vega Trend,52.48882852660237,13.395257592201233,"{'type': 'Point', 'coordinates': (13.395257592201233, 52.48882852660237)}"
Vegetarian / Vegan Restaurant,Holy Flat,52.490134,13.427201,"{'type': 'Point', 'coordinates': (13.427201, 52.490134)}"
Vegetarian / Vegan Restaurant,Savory Chay,52.511171151666126,13.388193842291297,"{'type': 'Point', 'coordinates': (13.388193842291297, 52.511171151666126)}"
