requirement,name,lat,long,geometry
Elementary School,Ecole des Quatre Fils,48.860392,2.360192,"{'type': 'Point', 'coordinates': (2.360192, 48.860392)}"
Elementary School,École Cambon,48.868087,2.326922,"{'type': 'Point', 'coordinates': (2.326922, 48.868087)}"
Elementary School,École Élémentaire Delambre,48.841615,2.326762,"{'type': 'Point', 'coordinates': (2.326762, 48.841615)}"
Elementary School,École élémentaire Saint Sébastien,48.861402,2.370036,"{'type': 'Point', 'coordinates': (2.370036, 48.861402)}"
Elementary School,Ecole élémentaire Chomel,48.852166279569865,2.3257193263524982,"{'type': 'Point', 'coordinates': (2.3257193263524982, 48.852166279569865)}"
Middle School,Collège Stanislas,48.84528229226777,2.3283181434100846,"{'type': 'Point', 'coordinates': (2.3283181434100846, 48.84528229226777)}"
Airport Service,Bus Naar Michelbeke,48.863836,2.35464,"{'type': 'Point', 'coordinates': (2.35464, 48.863836)}"
Travel Agency,Agence Air France Invalides,48.86240735043297,2.3147398545789883,"{'type': 'Point', 'coordinates': (2.3147398545789883, 48.86240735043297)}"
Sports Bar,La Lucha Libre,48.84899862588858,2.348624183143989,"{'type': 'Point', 'coordinates': (2.348624183143989, 48.84899862588858)}"
Cocktail Bar,Bisou.,48.864167278249376,2.3660975345799145,"{'type': 'Point', 'coordinates': (2.3660975345799145, 48.864167278249376)}"
Music Venue,Flow,48.86334213394012,2.3148230736543423,"{'type': 'Point', 'coordinates': (2.3148230736543423, 48.86334213394012)}"
Cocktail Bar,Bar Hemingway,48.86874286694514,2.3275136947631836,"{'type': 'Point', 'coordinates': (2.3275136947631836, 48.86874286694514)}"
Cocktail Bar,Bar Joséphine,48.851065,2.327131,"{'type': 'Point', 'coordinates': (2.327131, 48.851065)}"
Boat or Ferry,Yachts de Paris,48.84791426220394,2.3633265495300293,"{'type': 'Point', 'coordinates': (2.3633265495300293, 48.84791426220394)}"
Vegetarian / Vegan Restaurant,Furahaa To Go,48.86656388405439,2.3516160249710083,"{'type': 'Point', 'coordinates': (2.3516160249710083, 48.86656388405439)}"
Burger Joint,Les Tontons Veg,48.86928,2.3602648,"{'type': 'Point', 'coordinates': (2.3602648, 48.86928)}"
Poke Place,Poke Me,48.862648,2.372409,"{'type': 'Point', 'coordinates': (2.372409, 48.862648)}"
Vegetarian / Vegan Restaurant,Elaichi,48.869569,2.355699,"{'type': 'Point', 'coordinates': (2.355699, 48.869569)}"
Coffee Shop,IMA,48.869489328467836,2.36665132316851,"{'type': 'Point', 'coordinates': (2.36665132316851, 48.869489328467836)}"
Vegetarian / Vegan Restaurant,Wild & The Moon,48.863881043567574,2.3566460472199604,"{'type': 'Point', 'coordinates': (2.3566460472199604, 48.863881043567574)}"
